# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/27 20:00:00.000000000
# End Time   : 2017/01/29 13:00:00.000000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent Value
2017/01/28 06:44:04.000000000	-216.3970	0.0060	6.1201
2017/01/28 06:47:08.000000000	-216.3584	0.0060	6.1562
2017/01/28 06:50:12.000000000	-216.3743	0.0060	6.1315
2017/01/28 06:53:16.000000000	-216.3584	0.0060	6.1381
2017/01/28 06:56:20.000000000	-216.3628	0.0060	6.1451
2017/01/28 06:59:24.000000000	-216.3670	0.0060	6.1506
2017/01/28 07:02:28.000000000	-216.3478	0.0060	6.0900
2017/01/28 07:05:32.000000000	-216.3543	0.0060	6.1260
2017/01/28 07:08:36.000000000	-216.3669	0.0060	6.1739
2017/01/28 07:11:40.000000000	-216.3466	0.0060	6.1234
2017/01/28 07:14:44.000000000	-216.3490	0.0060	6.1380
2017/01/28 07:17:48.000000000	-216.3541	0.0060	6.1484
2017/01/28 07:20:52.000000000	-216.3485	0.0060	6.1425
2017/01/28 07:23:56.000000000	-216.3559	0.0060	6.1425
2017/01/28 07:27:00.000000000	-216.3498	0.0060	6.1311
2017/01/28 07:30:04.000000000	-216.3409	0.0060	6.1486
2017/01/28 07:33:08.000000000	-216.3554	0.0060	6.1504
2017/01/28 07:36:12.000000000	-216.3480	0.0060	6.1435
2017/01/28 07:39:16.000000000	-216.3511	0.0060	6.1302
2017/01/28 07:42:20.000000000	-216.3504	0.0060	6.1210
2017/01/28 07:45:24.000000000	-216.3359	0.0060	6.1108
2017/01/28 07:48:28.000000000	-216.3261	0.0060	6.1298
2017/01/28 07:51:32.000000000	-216.3237	0.0060	6.1336
2017/01/28 07:54:36.000000000	-216.3343	0.0060	6.1665
2017/01/28 07:57:40.000000000	-216.3406	0.0060	6.0957
2017/01/28 08:00:44.000000000	-216.3375	0.0060	6.1651
2017/01/28 08:03:48.000000000	-216.3388	0.0060	6.1203
2017/01/28 08:06:52.000000000	-216.3363	0.0060	6.1227
2017/01/28 08:09:56.000000000	-216.3338	0.0060	6.1207
2017/01/28 08:13:00.000000000	-216.3324	0.0060	6.1128
2017/01/28 08:16:04.000000000	-216.3287	0.0060	6.1261
2017/01/28 08:19:08.000000000	-216.3272	0.0060	6.1261
2017/01/28 08:22:12.000000000	-216.3321	0.0060	6.0972
2017/01/28 08:25:16.000000000	-216.3394	0.0060	6.1076
2017/01/28 08:28:20.000000000	-216.3436	0.0060	6.1253
2017/01/28 08:31:24.000000000	-216.3465	0.0060	6.1157
2017/01/28 08:34:28.000000000	-216.3416	0.0060	6.1132
2017/01/28 08:37:32.000000000	-216.3403	0.0060	6.1218
2017/01/28 08:40:36.000000000	-216.3444	0.0060	6.1115
2017/01/28 08:43:40.000000000	-216.3434	0.0060	6.1256
2017/01/28 08:46:44.000000000	-216.3419	0.0060	6.1075
2017/01/28 08:49:48.000000000	-216.3423	0.0060	6.1177
2017/01/28 08:52:52.000000000	-216.3407	0.0060	6.1180
2017/01/28 08:55:56.000000000	-216.3417	0.0060	6.1037
2017/01/28 08:59:00.000000000	-216.3396	0.0060	6.1227
2017/01/28 09:02:04.000000000	-216.3450	0.0060	6.1171
2017/01/28 09:05:08.000000000	-216.3507	0.0060	6.1086
2017/01/28 09:08:12.000000000	-216.3515	0.0060	6.1015
2017/01/28 09:11:16.000000000	-216.3526	0.0060	6.0974
2017/01/28 09:14:20.000000000	-216.3595	0.0060	6.1141
2017/01/28 09:17:24.000000000	-216.3655	0.0060	6.1141
2017/01/28 09:20:28.000000000	-216.3708	0.0060	6.1392
2017/01/28 09:23:32.000000000	-216.3644	0.0060	6.1421
2017/01/28 09:26:36.000000000	-216.3593	0.0060	6.1452
2017/01/28 09:29:40.000000000	-216.3585	0.0060	6.1179
2017/01/28 09:32:44.000000000	-216.3574	0.0060	6.0809
2017/01/28 09:35:48.000000000	-216.3553	0.0060	6.0809
2017/01/28 09:38:52.000000000	-216.3549	0.0060	6.0979
2017/01/28 09:41:56.000000000	-216.3522	0.0060	6.1201
2017/01/28 09:45:00.000000000	-216.3495	0.0060	6.1125
2017/01/28 09:48:04.000000000	-216.3556	0.0060	6.1202
2017/01/28 09:51:08.000000000	-216.3537	0.0060	6.1175
2017/01/28 09:54:12.000000000	-216.3554	0.0060	6.1368
2017/01/28 09:57:16.000000000	-216.3531	0.0060	6.1340
2017/01/28 10:00:20.000000000	-216.3512	0.0060	6.1298
2017/01/28 10:03:24.000000000	-216.3474	0.0060	6.1318
2017/01/28 10:06:28.000000000	-216.3470	0.0060	6.0894
2017/01/28 10:09:32.000000000	-216.3420	0.0060	6.0962
2017/01/28 10:12:36.000000000	-216.3472	0.0060	6.1021
2017/01/28 10:15:40.000000000	-216.3512	0.0060	6.1079
2017/01/28 10:18:44.000000000	-216.3476	0.0060	6.1012
2017/01/28 10:21:48.000000000	-216.3507	0.0060	6.1060
2017/01/28 10:24:52.000000000	-216.3490	0.0060	6.1298
2017/01/28 10:27:56.000000000	-216.3505	0.0060	6.1265
2017/01/28 10:31:00.000000000	-216.3501	0.0060	6.1156
2017/01/28 10:34:04.000000000	-216.3473	0.0060	6.1501
2017/01/28 10:37:08.000000000	-216.3490	0.0060	6.0984
2017/01/28 10:40:12.000000000	-216.3430	0.0060	6.1063
2017/01/28 10:43:16.000000000	-216.3406	0.0060	6.0975
2017/01/28 10:46:20.000000000	-216.3409	0.0060	6.0975
2017/01/28 10:49:24.000000000	-216.3379	0.0060	6.1585
2017/01/28 10:52:28.000000000	-216.3381	0.0060	6.1209
2017/01/28 10:55:32.000000000	-216.3467	0.0060	6.1084
2017/01/28 10:58:36.000000000	-216.3498	0.0060	6.1272
2017/01/28 11:01:40.000000000	-216.3483	0.0060	6.1235
2017/01/28 11:04:44.000000000	-216.3397	0.0060	6.1100
2017/01/28 11:07:48.000000000	-216.3419	0.0060	6.1542
2017/01/28 11:10:52.000000000	-216.3384	0.0060	6.1510
2017/01/28 11:13:56.000000000	-216.3375	0.0060	6.1314
