# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/28 10:30:22.406000000
# End Time   : 2017/01/29 15:15:41.078000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/01/28 17:15:35.000000000	-216.5144	2.4960
2017/01/28 17:17:44.000000000	-216.5205	2.4957
2017/01/28 17:19:53.000000000	-216.5261	2.4960
2017/01/28 17:22:02.000000000	-216.5123	2.4958
2017/01/28 17:24:11.000000000	-216.5231	2.4958
2017/01/28 17:26:20.000000000	-216.5178	2.4960
2017/01/28 17:28:29.000000000	-216.5114	2.4964
2017/01/28 17:30:38.000000000	-216.5119	2.4964
2017/01/28 17:32:47.000000000	-216.5120	2.4957
2017/01/28 17:34:56.000000000	-216.5059	2.4957
2017/01/28 17:37:05.000000000	-216.5008	2.4957
2017/01/28 17:39:14.000000000	-216.5130	2.4961
2017/01/28 17:41:23.000000000	-216.5090	2.4957
2017/01/28 17:43:32.000000000	-216.5042	2.4960
2017/01/28 17:45:41.000000000	-216.5101	2.4952
2017/01/28 17:47:50.000000000	-216.5050	2.4958
2017/01/28 17:49:59.000000000	-216.5126	2.4958
2017/01/28 17:52:08.000000000	-216.0801	2.4963
2017/01/28 17:54:17.000000000	-213.3256	2.5406
2017/01/28 17:56:26.000000000	-212.7859	2.5953
2017/01/28 17:58:35.000000000	-212.5446	2.6888
2017/01/28 18:00:44.000000000	-212.7944	2.7368
2017/01/28 18:02:53.000000000	-212.5525	2.9504
2017/01/28 18:05:02.000000000	-212.5308	2.9544
2017/01/28 18:07:11.000000000	-213.1125	2.9017
2017/01/28 18:09:20.000000000	-212.9714	2.8981
2017/01/28 18:11:29.000000000	-212.3998	2.9146
2017/01/28 18:13:38.000000000	-212.6702	2.9197
2017/01/28 18:15:47.000000000	-213.2542	2.9454
2017/01/28 18:17:56.000000000	-212.4163	2.9520
2017/01/28 18:20:05.000000000	-212.5018	2.9684
2017/01/28 18:22:14.000000000	-212.8270	2.9526
2017/01/28 18:24:23.000000000	-213.1000	2.9739
2017/01/28 18:26:32.000000000	-212.5289	2.9855
2017/01/28 18:28:41.000000000	-213.2652	2.9869
2017/01/28 18:30:50.000000000	-213.1643	2.9737
