# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/10 10:42:52.679545364
# End Time   : 2017/02/10 11:12:52.679552963
# Source     : Plot
# Format     : Exponential (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	Negative Error	Positive Error	Severity	Status	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	Negative Error	Positive Error	Severity	Status
2017/02/10 10:48:51.953805290	7.7031E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:52.754158211	7.6560E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:53.754495626	7.6718E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:54.555002892	7.9447E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:55.555524024	8.5417E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:56.356277344	-1.3179E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:57.156545395	4.3334E-11	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:58.156981803	2.8694E-9	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:58.957707747	3.6143E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:59.758192623	1.0922E-9	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:00.558747758	1.0125E-9	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:01.559411907	9.5555E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:02.359774921	8.4030E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:03.159994541	7.9132E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:04.160423279	7.4683E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:04.961061542	7.3885E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:05.761425376	7.1903E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:06.761841399	7.9634E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:07.562432024	3.0231E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:08.562640719	3.9924E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:09.163177420	4.4208E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:10.163826526	5.0578E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:10.963767036	5.2887E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:11.764647064	4.7930E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:12.564531191	5.0234E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:13.565280181	5.2790E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:14.365822923	5.7376E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:15.366558146	5.9586E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:16.166894684	6.2373E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:16.967535390	6.4504E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:17.767844010	6.6484E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:18.768225156	6.6560E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:19.369400486	6.4454E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:20.569199766	6.2695E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:21.369610893	6.6060E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:22.170256768	6.7575E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:22.970802758	-1.0000E-9	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:49:24.580277691	-1.0000E-9	0	0	NONE	NO_ALARM	-7.0245E0	0	0	NONE	NO_ALARM
2017/02/10 10:49:24.771864473	-6.1852E-7	0	0	MAJOR	LOLO_ALARM	-7.0245E0	0	0	NONE	NO_ALARM
2017/02/10 10:49:25.572082838	-6.1793E-7	0	0	MAJOR	LOLO_ALARM	-7.0245E0	0	0	NONE	NO_ALARM
2017/02/10 10:49:26.080479813	-6.1793E-7	0	0	MAJOR	LOLO_ALARM	-1.0007E1	0	0	NONE	NO_ALARM
2017/02/10 10:49:26.572530866	-6.1791E-7	0	0	MAJOR	LOLO_ALARM	-1.0007E1	0	0	NONE	NO_ALARM
2017/02/10 10:49:27.080631627	-6.1791E-7	0	0	MAJOR	LOLO_ALARM	-1.0028E1	0	0	NONE	NO_ALARM
2017/02/10 10:49:27.373030541	1.1155E-9	0	0	NONE	NO_ALARM	-1.0028E1	0	0	NONE	NO_ALARM
2017/02/10 10:49:27.581065486	1.1155E-9	0	0	NONE	NO_ALARM	-1.0033E1	0	0	NONE	NO_ALARM
